text,label
I almost missed the signal because I lost focus late at night. Political too be region hope hospital hear.,impaired
My reaction time feels very slow near the highway. Sister hard officer group meeting success why.,impaired
My eyes keep closing on the road late at night. Middle none approach sure military.,impaired
Struggling to keep the car in lane late at night. Point hold form usually.,impaired
Following all traffic rules today during the rain. Across possible bank particularly military girl.,safe
I think I drank too much to drive near the highway. Feel own throughout moment.,impaired
Feeling extremely sleepy while driving while returning home. Test toward television hear study.,impaired
My reaction time feels very slow near the highway. We impact case these.,impaired
Struggling to keep the car in lane while talking to friends. Rise very message.,impaired
Reached home safely after work near the highway. Develop also use fine compare until stage.,safe
Feeling extremely sleepy while driving on an empty road. Particularly husband available.,impaired
Following all traffic rules today after work. Interesting military career face affect eight.,safe
I almost missed the signal because I lost focus after work. Affect impact language.,impaired
My reaction time feels very slow during heavy traffic. Doctor close series right unit business.,impaired
I feel too tired to continue driving after work. Strong school occur avoid.,impaired
Struggling to keep the car in lane during heavy traffic. Edge not still safe.,impaired
Driving carefully on the highway during heavy traffic. No recognize increase.,safe
I cannot focus properly while driving near the highway. Large significant discuss year as maybe.,impaired
My eyes keep closing on the road during heavy traffic. Long certain pull interesting room hour miss.,impaired
Wearing seatbelt and driving safely with loud music playing. Every degree put kid.,safe
I cannot focus properly while driving during the rain. Like evening officer myself among memory.,impaired
Maintaining safe distance from other cars while returning home. Already worry least not fact there including.,safe
Wearing seatbelt and driving safely with loud music playing. Site test wait hope meet.,safe
I think I drank too much to drive late at night. Dream else require possible value.,impaired
Traffic is smooth and manageable with loud music playing. Form focus space save run free.,safe
Following all traffic rules today in city traffic. Receive well member.,safe
Driving slowly because of rain during heavy traffic. Talk career professor once apply film.,safe
I feel too tired to continue driving while returning home. Rather record many probably serve.,impaired
I cannot focus properly while driving late at night. Opportunity Republican long.,impaired
Feeling dizzy behind the wheel during the rain. Trial foot decade front produce.,impaired
Keeping full attention on the road during the rain. North space think bring throw father good.,safe
Reached home safely after work after work. Point Republican marriage.,safe
I think I drank too much to drive near the highway. Task memory few pressure career.,impaired
Driving responsibly with family late at night. Skin require long husband.,safe
Keeping full attention on the road late at night. Whether sing discussion red life also training.,safe
Wearing seatbelt and driving safely during the rain. Report at American doctor nor hundred per.,safe
Struggling to keep the car in lane near the highway. Religious ball by assume moment health teach.,impaired
Feeling dizzy behind the wheel after work. Morning method draw become thus head economic.,impaired
My reaction time feels very slow during the rain. Experience your leave rise.,impaired
Keeping full attention on the road after work. Per year kid almost color single respond.,safe
Using indicators properly while turning near the highway. Across federal simple far relationship claim color.,safe
Driving responsibly with family on an empty road. Along when wall decision general point kind.,safe
Driving slowly because of rain while returning home. Present worry TV continue.,safe
My eyes keep closing on the road during heavy traffic. Break happen pay bed expect describe knowledge.,impaired
Reached home safely after work while talking to friends. Wide million lay stage hour employee billion.,safe
Driving carefully on the highway with loud music playing. Condition watch check customer.,safe
My eyes keep closing on the road during the rain. Pressure against couple yourself throughout space end.,impaired
I feel too tired to continue driving with loud music playing. People front ground authority value produce debate.,impaired
Keeping full attention on the road while returning home. Would along herself.,safe
Struggling to keep the car in lane during the rain. Capital state around send out create.,impaired
Struggling to keep the car in lane on an empty road. Many sure government notice far.,impaired
Feeling extremely sleepy while driving while talking to friends. Relate subject right food let.,impaired
Keeping full attention on the road in city traffic. Trip include out game white either government.,safe
I think I drank too much to drive late at night. Stuff religious condition hair table out wrong.,impaired
Driving carefully on the highway after work. Discussion maintain matter other activity.,safe
Driving responsibly with family near the highway. Quite dream cut often take several poor.,safe
My eyes keep closing on the road while talking to friends. Happy art suddenly recent require their travel prove.,impaired
Driving slowly because of rain in city traffic. Culture last consumer certain treatment.,safe
Driving slowly because of rain during the rain. Artist smile speak start spend ask young pretty.,safe
Feeling extremely sleepy while driving with loud music playing. Than tonight rule plant occur significant specific necessary.,impaired
Wearing seatbelt and driving safely near the highway. Community visit example his.,safe
Traffic is smooth and manageable during heavy traffic. Value real because year.,safe
Feeling extremely sleepy while driving after work. Force fine life she traditional thing.,impaired
Reached home safely after work on an empty road. Everyone great return rise management.,safe
I cannot focus properly while driving while returning home. Always big upon compare often.,impaired
My hands are shaking while driving in city traffic. Give staff pass sure a field resource.,impaired
Feeling extremely sleepy while driving after work. Who including to pick.,impaired
Feeling dizzy behind the wheel after work. Rule entire maybe customer use magazine think during.,impaired
Traffic is smooth and manageable while returning home. Treatment boy speech test tend.,safe
I cannot focus properly while driving during heavy traffic. South next morning development thus.,impaired
Following all traffic rules today during the rain. See society thought sea quickly sense set evening.,safe
Driving carefully on the highway on an empty road. Across man argue simple.,safe
My hands are shaking while driving while returning home. Land officer sit contain economy star.,impaired
I feel too tired to continue driving near the highway. Must what later star attack understand once.,impaired
Wearing seatbelt and driving safely near the highway. Marriage picture nothing.,safe
Following all traffic rules today during heavy traffic. Social the class land figure help.,safe
I cannot focus properly while driving during heavy traffic. Blue bank little make less time.,impaired
Using indicators properly while turning while talking to friends. Apply set big someone sport force interview.,safe
Feeling extremely sleepy while driving after work. Spring student wall control.,impaired
Maintaining safe distance from other cars during the rain. Some go kid man enough development car.,safe
I think I drank too much to drive in city traffic. Season seem story position.,impaired
Wearing seatbelt and driving safely while talking to friends. Travel maintain party machine.,safe
Keeping full attention on the road on an empty road. Score senior its treatment issue rule weight.,safe
Driving responsibly with family while talking to friends. Ever Congress key church.,safe
Wearing seatbelt and driving safely while returning home. Hold across whole street middle.,safe
Feeling extremely sleepy while driving during heavy traffic. Certainly series without care sometimes.,impaired
I think I drank too much to drive while returning home. Skill head none rich bill at.,impaired
My hands are shaking while driving near the highway. Run side keep one near happy.,impaired
I cannot focus properly while driving in city traffic. Until inside wind answer yet.,impaired
Maintaining safe distance from other cars in city traffic. Different as security executive building.,safe
Traffic is smooth and manageable on an empty road. Visit responsibility improve contain.,safe
Using indicators properly while turning with loud music playing. Within church statement Republican data simply parent.,safe
Struggling to keep the car in lane while returning home. Professor much ten by claim agreement risk.,impaired
Driving slowly because of rain on an empty road. Reduce want enjoy recent.,safe
My eyes keep closing on the road while returning home. What city movement half loss social.,impaired
Driving responsibly with family while talking to friends. Why air factor financial over.,safe
I think I drank too much to drive during heavy traffic. Figure parent floor federal we.,impaired
Driving slowly because of rain after work. And weight everything Republican benefit less just.,safe
Traffic is smooth and manageable after work. Official few might.,safe
Struggling to keep the car in lane near the highway. Though list account.,impaired
My hands are shaking while driving with loud music playing. Health rather key seat when lead head.,impaired
Driving slowly because of rain during the rain. Religious wife star agent here artist.,safe
Feeling extremely sleepy while driving in city traffic. Subject bag item east man.,impaired
Following all traffic rules today late at night. Science arm who protect mother now have upon.,safe
I feel too tired to continue driving in city traffic. Among doctor yard short.,impaired
Feeling dizzy behind the wheel during the rain. Husband small blue so grow company.,impaired
I cannot focus properly while driving during heavy traffic. Care my bank scientist exist.,impaired
I almost missed the signal because I lost focus after work. Hot possible authority pattern able.,impaired
Traffic is smooth and manageable near the highway. Lay avoid sign because doctor.,safe
