text,label
I am struggling to pay attention right now. I lost focus for a moment,distraction
Sleepiness is affecting my focus in heavy traffic,drowsy
I feel weak while driving,fatigue
Immediate medical help is needed during driving,emergency
Immediate medical help is needed since morning. Call emergency services now,emergency
No issues while driving currently during driving,normal
Driving for long hours is tiring in heavy traffic. I am losing energy slowly,fatigue
Yawning continuously while driving on this highway,drowsy
My concentration is decreasing while travelling,fatigue
I am driving comfortably on this highway,normal
Call emergency services now at the moment. Emergency support is required,emergency
Everything feels normal on the road at the moment,normal
The drive is going smoothly since morning,normal
My concentration is decreasing since morning,fatigue
I got distracted by my phone during night travel,distraction
Call emergency services now on this highway. Emergency support is required,emergency
I feel pressure while driving. Heavy traffic is increasing my stress,stress
I am starting to feel tired while travelling. I feel weak while driving,fatigue
I am panicking while driving on this highway,stress
Sleepiness is affecting my focus for the past few minutes. Sleepiness is affecting my focus,drowsy
I feel alert and active while travelling,normal
I feel stressed in this traffic in heavy traffic,stress
I feel mentally drained on this highway,fatigue
I feel confident while driving in heavy traffic. Traffic conditions are manageable,normal
I lost focus for a moment during night travel,distraction
Immediate medical help is needed. The vehicle crashed suddenly,emergency
I feel mentally drained on this highway. Long driving is making me tired,fatigue
I feel sleepy while driving right now,drowsy
I feel sleepy while driving. I feel drowsy right now,drowsy
Noise outside is distracting me while travelling,distraction
I am driving comfortably since morning,normal
I am struggling to stay awake in heavy traffic,drowsy
I keep looking away from the road during night travel,distraction
My eyes are becoming heavy on this highway,drowsy
I keep looking away from the road in heavy traffic,distraction
I might fall asleep soon during driving. I feel sleepy while driving,drowsy
I am losing energy slowly,fatigue
I am starting to feel tired on this highway,fatigue
The driver is unresponsive,emergency
Yawning continuously while driving while travelling,drowsy
I am not fully focused right now,distraction
I am driving comfortably at the moment,normal
Emergency support is required on this highway. There has been an accident,emergency
Critical situation on the road during driving. I need emergency assistance immediately,emergency
I am struggling to stay awake during driving,drowsy
My concentration is decreasing in heavy traffic. I should probably stop for a break,fatigue
I am struggling to pay attention,distraction
The drive is going smoothly during night travel,normal
Heavy traffic is increasing my stress during night travel,stress
Heavy traffic is increasing my stress on this highway,stress
Emergency support is required at the moment. There has been an accident,emergency
My concentration is decreasing during driving,fatigue
I am struggling to pay attention in heavy traffic. Noise outside is distracting me,distraction
I am driving comfortably right now,normal
I lost focus for a moment. I am struggling to pay attention,distraction
There has been an accident at the moment. Emergency support is required,emergency
I got distracted by my phone for the past few minutes,distraction
This road condition is stressful. This road condition is stressful,stress
Driving for long hours is tiring during driving. I am losing energy slowly,fatigue
I am struggling to pay attention during driving. I keep looking away from the road,distraction
I am panicking while driving on this highway,stress
The vehicle crashed suddenly right now. Emergency support is required,emergency
I feel weak while driving during night travel. I think I need some rest,fatigue
I feel pressure while driving during driving,stress
This situation is mentally exhausting on this highway,stress
I feel stressed in this traffic right now,stress
Critical situation on the road during driving. The driver is unresponsive,emergency
My eyes are becoming heavy during driving,drowsy
The driver is unresponsive since morning,emergency
I am driving comfortably during night travel,normal
I feel nervous right now since morning,stress
This situation is mentally exhausting,stress
Something distracted me while driving in heavy traffic,distraction
This road condition is stressful,stress
I am unable to concentrate properly at the moment. I missed the signal accidentally,distraction
The vehicle crashed suddenly since morning,emergency
My attention keeps shifting right now,distraction
There has been an accident right now. I cannot control the vehicle,emergency
I am starting to feel tired,fatigue
There has been an accident,emergency
Sleepiness is affecting my focus in heavy traffic,drowsy
I feel alert and active for the past few minutes,normal
I feel stressed in this traffic,stress
I am panicking while driving during night travel. I am emotionally disturbed,stress
My body feels exhausted for the past few minutes,fatigue
I lost focus for a moment during driving,distraction
I feel confident while driving during driving. Everything feels normal on the road,normal
I keep looking away from the road while travelling,distraction
No issues while driving currently for the past few minutes,normal
Traffic conditions are manageable during driving,normal
I am struggling to stay awake since morning,drowsy
Sleepiness is affecting my focus at the moment,drowsy
The vehicle crashed suddenly right now,emergency
There has been an accident right now,emergency
The vehicle crashed suddenly at the moment,emergency
The drive is going smoothly during night travel. I feel alert and active,normal
I feel stressed in this traffic during night travel,stress
There has been an accident at the moment. Critical situation on the road,emergency
I keep looking away from the road on this highway,distraction
Long driving is making me tired at the moment,fatigue
Driving for long hours is tiring in heavy traffic. My concentration is decreasing,fatigue
I am panicking while driving since morning,stress
I am emotionally disturbed while travelling,stress
