text,label
I am driving safely and feeling fine,normal
I am not fully paying attention,distraction
I am getting very sleepy now,fatigue
I feel focused on the road,normal
I am unable to control the vehicle,emergency
My eyes are closing while driving,drowsy
I am not fully paying attention,distraction
I am unable to concentrate,distraction
Traffic is making me anxious,stress
I met with an accident,emergency
I am under pressure while driving,stress
I can continue driving without issues,normal
I feel like sleeping now,drowsy
Everything is normal while driving,normal
I can continue driving without issues,normal
I feel nervous on this road,stress
Immediate assistance required,emergency
I am unable to control the vehicle,emergency
I am losing focus on the road,distraction
I am struggling to stay awake,drowsy
I met with an accident,emergency
My body feels exhausted on the road,fatigue
I got distracted while driving,distraction
Emergency help needed now,emergency
I feel stressed while driving,stress
I need to take a short break,fatigue
Send help immediately,emergency
I am getting very sleepy now,fatigue
Emergency help needed now,emergency
I am under pressure while driving,stress
I met with an accident,emergency
I am feeling tired while driving,fatigue
Send help immediately,emergency
I can continue driving without issues,normal
I got distracted while driving,distraction
I got distracted while driving,distraction
I am under pressure while driving,stress
I got distracted while driving,distraction
I feel stressed while driving,stress
I feel focused on the road,normal
I should rest before continuing,fatigue
Everything is normal while driving,normal
I cannot keep my eyes open,drowsy
I should rest before continuing,fatigue
I should rest before continuing,fatigue
Send help immediately,emergency
I need to take a short break,fatigue
Send help immediately,emergency
I need to take a short break,fatigue
I am driving safely and feeling fine,normal
I am unable to control the vehicle,emergency
I am getting very sleepy now,fatigue
I am unable to control the vehicle,emergency
I am driving safely and feeling fine,normal
I feel like sleeping now,drowsy
I need to take a short break,fatigue
I feel nervous on this road,stress
I need to take a short break,fatigue
My body feels exhausted on the road,fatigue
I am losing focus on the road,distraction
I am driving safely and feeling fine,normal
My eyes are closing while driving,drowsy
My body feels exhausted on the road,fatigue
I am losing focus on the road,distraction
I feel focused on the road,normal
Traffic is making me anxious,stress
I feel nervous on this road,stress
Immediate assistance required,emergency
Everything is normal while driving,normal
I am not fully paying attention,distraction
I am feeling tired while driving,fatigue
Emergency help needed now,emergency
I am getting very sleepy now,fatigue
I got distracted while driving,distraction
I am struggling to stay awake,drowsy
Emergency help needed now,emergency
I should rest before continuing,fatigue
I am under pressure while driving,stress
I am not fully paying attention,distraction
I am getting very sleepy now,fatigue
Driving conditions are stressful,stress
I am unable to control the vehicle,emergency
I feel stressed while driving,stress
Send help immediately,emergency
Send help immediately,emergency
I am under pressure while driving,stress
I should rest before continuing,fatigue
I am feeling tired while driving,fatigue
Send help immediately,emergency
Traffic is making me anxious,stress
Immediate assistance required,emergency
I am not fully paying attention,distraction
My eyes are closing while driving,drowsy
I am struggling to stay awake,drowsy
I am feeling tired while driving,fatigue
Traffic is making me anxious,stress
Traffic is making me anxious,stress
I can continue driving without issues,normal
I feel like sleeping now,drowsy
I should rest before continuing,fatigue
I feel focused on the road,normal
I need to take a short break,fatigue
Road is clear and I am alert,normal
I am unable to control the vehicle,emergency
I am not fully paying attention,distraction
Everything is normal while driving,normal
I am losing focus on the road,distraction
I met with an accident,emergency
I am unable to control the vehicle,emergency
I am under pressure while driving,stress
Driving conditions are stressful,stress
I am unable to concentrate,distraction
I am feeling tired while driving,fatigue
I can continue driving without issues,normal
I am getting very sleepy now,fatigue
My body feels exhausted on the road,fatigue
Traffic is making me anxious,stress
I got distracted while driving,distraction
I am not fully paying attention,distraction
My eyes are closing while driving,drowsy
I need to take a short break,fatigue
Emergency help needed now,emergency
Emergency help needed now,emergency
I need to take a short break,fatigue
I met with an accident,emergency
I am driving safely and feeling fine,normal
I am feeling tired while driving,fatigue
I am very drowsy on the road,drowsy
Immediate assistance required,emergency
I am unable to concentrate,distraction
I met with an accident,emergency
I am very drowsy on the road,drowsy
I should rest before continuing,fatigue
My eyes are closing while driving,drowsy
I feel like sleeping now,drowsy
I feel like sleeping now,drowsy
Something is diverting my attention,distraction
Everything is normal while driving,normal
I need to take a short break,fatigue
Something is diverting my attention,distraction
Road is clear and I am alert,normal
Traffic is making me anxious,stress
I feel focused on the road,normal
I am struggling to stay awake,drowsy
I am getting very sleepy now,fatigue
Send help immediately,emergency
I am feeling tired while driving,fatigue
Everything is normal while driving,normal
Immediate assistance required,emergency
Emergency help needed now,emergency
I am losing focus on the road,distraction
My body feels exhausted on the road,fatigue
I am driving safely and feeling fine,normal
I met with an accident,emergency
I should rest before continuing,fatigue
Everything is normal while driving,normal
I am feeling tired while driving,fatigue
I am getting very sleepy now,fatigue
I am driving safely and feeling fine,normal
I got distracted while driving,distraction
I need to take a short break,fatigue
I am not fully paying attention,distraction
Something is diverting my attention,distraction
I am struggling to stay awake,drowsy
I am very drowsy on the road,drowsy
I am struggling to stay awake,drowsy
I am getting very sleepy now,fatigue
I am struggling to stay awake,drowsy
Immediate assistance required,emergency
I got distracted while driving,distraction
Emergency help needed now,emergency
I am unable to concentrate,distraction
Immediate assistance required,emergency
I am unable to control the vehicle,emergency
Emergency help needed now,emergency
My eyes are closing while driving,drowsy
I met with an accident,emergency
I am getting very sleepy now,fatigue
I should rest before continuing,fatigue
Emergency help needed now,emergency
I am feeling tired while driving,fatigue
I am under pressure while driving,stress
I feel focused on the road,normal
I should rest before continuing,fatigue
I am getting very sleepy now,fatigue
I can continue driving without issues,normal
Road is clear and I am alert,normal
I feel nervous on this road,stress
I feel stressed while driving,stress
I cannot keep my eyes open,drowsy
I should rest before continuing,fatigue
I feel like sleeping now,drowsy
I am very drowsy on the road,drowsy
I feel focused on the road,normal
I am unable to control the vehicle,emergency
I got distracted while driving,distraction
I am under pressure while driving,stress
I should rest before continuing,fatigue
I am under pressure while driving,stress
My body feels exhausted on the road,fatigue
I am not fully paying attention,distraction
I can continue driving without issues,normal
Driving conditions are stressful,stress
I am under pressure while driving,stress
Something is diverting my attention,distraction
I need to take a short break,fatigue
I am very drowsy on the road,drowsy
Everything is normal while driving,normal
Road is clear and I am alert,normal
Something is diverting my attention,distraction
I feel stressed while driving,stress
I am driving safely and feeling fine,normal
I am struggling to stay awake,drowsy
Traffic is making me anxious,stress
I am struggling to stay awake,drowsy
I am driving safely and feeling fine,normal
I should rest before continuing,fatigue
I feel focused on the road,normal
Everything is normal while driving,normal
I feel like sleeping now,drowsy
I am feeling tired while driving,fatigue
Send help immediately,emergency
I feel stressed while driving,stress
Emergency help needed now,emergency
Everything is normal while driving,normal
I am struggling to stay awake,drowsy
I am unable to concentrate,distraction
I feel focused on the road,normal
Something is diverting my attention,distraction
I met with an accident,emergency
